achunjia,阿春家
dongyingfang,东营房
dongyuandasha,东源大厦
dongyuemiao,东岳庙
dongzeyuan,东泽园
dongzhi,东直
dongzhimen,东直门
dongzhimenba,东直门吧
dongzhimende,东直门的
dongzhimenle,东直门了
dongzhimenne,东直门呢
dongzhimennei,东直门内
dongzhimenwai,东直门外
dongzhimenwaidajie,东直门外大街
dongzhimenyiyuan,东直门医院
dongzhimenzhongxue,东直门中学
dongzhongjie,东中街
doubanhutong,豆瓣胡同
doubeijing,都北京
doubuailiwo,都不爱理我
doubuailiwole,都不爱理我了
doubuchengle,都不成了
doubujiaoshi,都不叫事
doubujiaoshier,都不叫事儿
doubuzaibeijing,都不在北京
douchenga,都成啊
douchengba,都成吧
doudaodanweile,都到单位了
doudian,窦店
douchu,豆厨
doumenzi,逗闷子
doupin,逗贫
doufusi,豆腐丝
doufuyan,豆腐宴
dougezhuang,豆各庄
dougezhuangxiang,豆各庄乡
dougeinin,都给您
dougenjia,都跟家
dougennishide,都跟你是的
dougouzaode,都够早的
douguniang,逗姑娘
douhaicheng,都还成
douhuazhuang,豆花庄
douhuaile,逗坏了
douhuangle,都慌了
douhuiguoji,都会国际
douhuihuating,都会华庭
doujiaofan,豆角饭
doujiaomenmian,豆角焖面
doujingle,都惊了
doukesou,逗咳嗽
doulaibeijing,都来北京
doumane,都嘛呢
doume,逗么
doumeidier,都没地儿
doumeidingne,都没定呢
doumeipu,都没谱
doumeishier,都没事儿
doumeizhe,都没辙
doumenzi,逗闷子
dounamehuishi,都那么回事
douniu,逗妞
doupin,逗贫
dousao,抖骚
doushi,豆石
doushibeijing,都是北京
doushibeijingde,都是北京的
doushuidaole,都谁到了
doushuiquya,都谁去呀
doushuizaime,都谁在么
dousuanshang,都算上
dousuanxialai,都算下来
doutashi,都踏实
doutegui,都特贵
doutehao,都特好
doutehaokan,都特好看
doutemang,都特忙
doutemeshi,都特么是
doutexihuan,都特喜欢
douxinxian,都新鲜
douyoushier,都有事儿
douzaibeijing,都在北京
douzhedexing,都这德行
douzhedian,都这点
douzhedianer,都这点儿
douzhedianle,都这点了
douzhediaole,都这掉了
douzhene,逗着呢
douzhesuishu,都这岁数
douzhesuishule,都这岁数了
douzhewaner,逗着玩儿
douzheyanger,都这样儿
douzhi,豆汁
douzhier,豆汁儿
ducheba,堵车吧
ducheleba,堵车了吧
duchema,堵车吗
ducheme,堵车么
duchena,堵车那
duchene,堵车呢
ducheya,堵车呀
duchu,杜处
duhong,杜红
duhuo,堵火
dujiafangyuan,独家房源
dujiakan,杜家坎
dujianguo,杜建国
dulanzhuang,杜兰庄
dulehe,独乐河
dulizhufang,独立住房
dulouling,堵漏灵
dume,堵么
duqiyaner,肚脐眼儿
duran,杜然
dushiwangjing,都市网景
dushixinyuan,都市馨园
dushizhisheng,都市之声
dusiwole,堵死我了
duwenhui,杜文辉
duxiaoyue,度小月
duyichu,都一处
duzheba,堵着吧
duzhene,堵着呢
duanpianer,断片儿
duanqirui,段祺瑞
duanqiaolv,断桥铝
duanran,段然
duibeijing,对北京
duier,堆儿
duijihui,对机会
duijiuyu,碓臼峪
duikan,队刊
duimianer,对面儿
duiwaihezuo,对外合作
duiwaijingji,对外经济
duiwaijingjimaoyi,对外经济贸易
duiwaijingmao,对外经贸
duiwaijingmaodaxue,对外经贸大学
duiyaner,对眼儿
duiyingbushang,对应不上
dunban,蹲班
dunbu,墩布
dunbuchi,墩布池
dundaiyu,炖带鱼
dundi,墩地
dundiaozi,炖吊子
dunhuier,蹲会儿
dunjichi,炖鸡翅
dunniunan,炖牛腩
dunzhouzi,炖肘子
duobanga,多棒啊
duobaoge,多宝格
duobuheshi,多不合适
duocaodan,多操蛋
duochuandianer,多穿点儿
duodaihuier,多待会儿
duodenghuier,多等会儿
duodianer,多点儿
duodoua,多逗啊
duofana,多烦啊
duofanya,多烦呀
duofeijiao,多菲角
duoguine,多贵呢
duohedianershui,多喝点儿水
duojiaojidan,剁椒鸡蛋
duolaoyuan,多老远
duolezhiri,多乐之日
duomeijina,多没劲啊
duomeijinya,多没劲呀
duomoshi,多模式
duoniubia,多牛逼啊
duoshaolaide,多少来的
duoshaoqianlaide,多少钱来的
duoshaoyinzi,多少银子
duoshier,多事儿
duosunzi,多孙子
duotashi,多踏实
duotailang,多太郎
duoteme,多特么
duoweidu,多维度
duoweixianya,多危险呀
duoxiangnin,多向您
duoxieha,多谢哈
duoxiela,多谢啦
duoxielea,多谢了啊
duoxielou,多谢喽
duoxienin,多谢您
duoxieninle,多谢您了
duoxieqin,多谢亲
duoxinxian,多新鲜
duoxinxiana,多新鲜啊
duoyuyan,多语言
duoyuzhong,多语种
duozhangyi,多仗义
duozhi,多值
efang,鹅房
efengxing,俄风行
eguojiner,饿过劲儿
eheya,鹅和鸭
emeijiujia,峨眉酒家
encheng,嗯成
enchengba,嗯成吧
encheng,嗯成
enfangxinba,嗯放心吧
enxingba,嗯行吧
enhen,嗯痕
enjili,恩济里
enjizhuang,恩济庄
enmeishier,嗯没事儿
enne,嗯呢
enxingba,嗯行吧
erbozi,二拨子
ercengde,二层的
ergaosu,二高速
erhaoxianle,二号线了
erhaoyuan,二号院
erhuanbianshang,二环边上
erhuanli,二环里
erhuanshang,二环上
erjibumen,二级部门
erjiye,二级页
erjiyemian,二级页面
erjiao,二教
erju,二居
erjushi,二居室
erli,二里
erligou,二里沟
erlizhuang,二里庄
erliusan,二六三
erliuyi,二六一
erlonglu,二龙路
erpaoyiyuan,二炮医院
erqichang,二七厂
ershi,二食
ertongcheng,儿童城
ertongyiyuan,儿童医院
erwashao,耳挖勺
erwai,二外
erwaide,二外的
erweihao,二位好
erxiaomen,二校门
eryansuo,儿研所
erzhongyuan,二中院
fabeijing,发北京
fabuguanggao,发布广告
fabuxitong,发布系统
fachu,发憷
fachuanle,发串了
facuodile,发错地了
fadaobeijing,发到北京
fadaoninde,发到您的
fagao,发稿
fageininba,发给您吧
fageininle,发给您了
fagongyou,发公邮
faguisi,法规司
fahaisi,法海寺
fahuasi,法华寺
faleyoujian,发了邮件
falvbu,法律部
falvchubanshe,法律出版社
falvshiwubu,法律事务部
famianbing,发面饼
faninyouxiang,发您邮箱
faninyouxiangle,发您邮箱了
faniu,发妞
fapeike,法培课
fapiaoji,发票机
fapiaoneirong,发票内容
fapiaoxinxi,发票信息
farenqianzi,法人签字
fasongliang,发送量
fasongyoujian,发送邮件
fatou,垡头
fatouxili,垡头西里
fatu,法图
fawanyoujian,发完邮件
fawu,法务
faxiaoer,发小儿
faxingbu,发行部
faxingfang,发行方
faxinggongsi,发行公司
fayatiyu,法雅体育
fayiduanxin,发一短信
fayirui,法意瑞
fayoujianba,发邮件吧
fayoujianle,发邮件了
fayoujianne,发邮件呢
fayuansi,法源寺
fazhandahui,发展大会
fazhanhui,发展会
fazhanyanjiuzhongxin,发展研究中心
fazhijinxingshi,法制进行时
fazhiwanbao,法制晚报
fazhiwang,法制网
fanbingne,犯病呢
fanbu,饭补
fanchangzi,翻肠子
fandianer,饭点儿
fandoule,翻斗乐
fanerbi,犯二逼
fangezhuang,范各庄
fangu,梵谷
fangushuijun,梵谷水郡
fanguaner,饭馆儿
fanguanne,饭馆呢
fanhaiguoji,泛海国际
fanhuibeijing,返回北京
fanjiacun,樊家村
fanjing,返京
fankunne,犯困呢
fanlan,犯懒
fanlanle,犯懒了
fanlea,烦了啊
fanlidasha,泛利大厦
fanlongduan,反垄断
fanpiqi,犯脾气
fanpianer,翻片儿
fanqian,犯欠
fanqianhou,饭前后
fanqiecaihua,番茄菜花
fanqingnin,烦请您
fanshabi,犯傻逼
fanshabile,犯傻逼了
fantong,饭统
fantongwang,饭统网
fanyanglu,樊羊路
fanyifei,翻译费
fanyigao,翻译稿
fanzuobi,反作弊
fangben,房本
fangbenshang,房本上
fangbianhuidian,方便回电
fangbianhuidianhua,方便回电话
fangbianshi,方便时
fangbianshihou,方便时候
fangcaodi,芳草地
fangchengyuan,芳城园
fangdanweile,放单位了
fangwei,放味
fangfeilu,芳菲路
fangguyuan,芳古园
fanghengguoji,方恒国际
fanghuaxueyuan,防化学院
fanghuodao,防火道
fangjiacun,方家村
fangjiahutong,方家胡同
fangnidaye,放你大爷
fangnidayepi,放你大爷屁
fangpaozhu,放炮竹
fangqingping,方清平
fangqingyuan,芳清园
fangquanzheng,房权证
fangqun,芳群
fangqunyuan,芳群园
fangshan,房山
fangshana,房山啊
fangshanba,房山吧
fangshande,房山的
fangshanle,房山了
fangshanma,房山吗
fangshanne,房山呢
fangshanqu,房山区
fangshanren,房山人
fangshanxian,房山线
fangshitong,方仕通
fangshujiangwenfei,防暑降温费
fangshuo,方硕
fangtantigang,访谈提纲
fangtanzhong,访谈中
fangwuguanliju,房屋管理局
fangxindian,房辛店
fangxinfang,放心房
fangxingyuan,芳星园
fangyuan,芳园
fangyuanbianhao,房源编号
fangyuanli,芳园里
fangyuanwang,房源网
fangyuanxinxi,房源信息
fangzhengkuandai,方正宽带
fangzhiyao,仿制药
fangzhouyuan,方舟苑
fangzhuang,方庄
fangzhuangde,方庄的
fangzhuangdian,方庄店
fangzhuanghuandao,方庄环岛
fangzhuangle,方庄了
fangzhuangnanlu,方庄南路
fangzhuangqiao,方庄桥
fangzhuangqiaodong,方庄桥东
fangzhuangqiaonan,方庄桥南
fangzhuangqiaoxi,方庄桥西
fangzihaizai,房子还在
feibantian,费半天
feibantianjin,费半天劲
feibeijing,非北京
feicao,肥槽
feichangganjing,非常干净
feichangtai,非常泰
feicheng,沸城
feicuidao,翡翠岛
feidianer,费点儿
feigongkai,非公开
feijishu,非技术
feijiacun,费家村
feijinbala,费劲巴拉
feijingji,非京籍
feikangda,飞康达
feilebantianjin,费了半天劲
feilejin,费了劲
feilixin,飞利信
feiniufan,肥牛饭
feinonghu,非农户
feipiao,废票
feisen,费森
feishenme,废什么
feishenmehua,费什么话
feitama,非他妈
feitengyehua,沸腾夜话
feitengyuxiang,沸腾鱼乡
feitiandasha,飞天大厦
feitou,肺头
feiweiyi,非唯一
feiwudianxin,废物点心
feixianweihua,肺纤维化
feixingqu,飞行区
feiyinhang,非银行
feiyongpiao,费用票
feiyuxiu,飞鱼秀
feizhengfu,非政府
feizhengfuzuzhi,非政府组织
feizhongxin,非中心
fenan,分案
fenchengbili,分成比例
fener,分儿
fengedan,分割单
fengeishui,分给谁
fenleihao,分类号
fenliximeng,芬理希梦
fenluntan,分论坛
fenqian,份钱
fensaiqu,分赛区
fenshier,分事儿
fenshoudashi,分手大师
fensiting,分司厅
fenxitong,分系统
fenzhe,分着
fenzhede,分着的
fenzhemai,分着买
fenzheshui,分着睡
fenzhentai,分诊台
fenzhongsi,分钟寺
fengba,枫吧
fengbaolu,丰葆路
fengbei,丰北
fengbeilu,丰北路
fengbeiqiao,丰北桥
fengbi,疯逼
fengbo,俸伯
fengbozhuang,风波庄
fengchaojuchang,蜂巢剧场
fengcun,冯村
fengda,丰大
fengdanlishe,枫丹丽舍
fengdubolin,风度柏林
fenger,缝儿
fengganniurou,风干牛肉
fenggepai,风格派
fenggoubi,疯狗逼
fengguan,丰管
fengguanlu,丰管路
fengguo,疯果
fenghequyuan,风荷曲苑
fengheying,凤河营
fengheyuan,丰和园
fenghuying,丰户营
fenghuahaojing,枫桦豪景
fenghuayuan,枫花园
fenghuanghui,凤凰汇
fenghuangling,凤凰岭
fenghuangwang,凤凰网
fenghuiyuan,丰汇园
fengjiayu,冯家峪
fengjuda,风巨大
fenglanguoji,枫蓝国际
fenglian,丰联
fenglianguangchang,丰联广场
fenglinlvzhou,风林绿洲
fengmidangao,蜂蜜蛋糕
fengning,丰宁
fengqiaolu,丰桥路
fengrubei,冯如杯
fengshangzhi,风尚志
fengshenghutong,丰盛胡同
fengshengyiyuan,丰盛医院
fengtai,丰台
fengtaiba,丰台吧
fengtaibeilu,丰台北路
fengtaide,丰台的
fengtaidian,丰台店
fengtaidongdajie,丰台东大街
fengtaierzhong,丰台二中
fengtaifenju,丰台分局
fengtaihuayuan,丰台花园
fengtaihuochezhan,丰台火车站
fengtaikejiyuan,丰台科技园
fengtaile,丰台了
fengtailu,丰台路
fengtailukou,丰台路口
fengtaina,丰台哪
fengtainali,丰台哪里
fengtainanlu,丰台南路
fengtaine,丰台呢
fengtaiqu,丰台区
fengtairen,丰台人
fengtaitiyuzhongxin,丰台体育中心
fengtaixizhan,丰台西站
fengtaiyiyuan,丰台医院
fengtaizhan,丰台站
fengtaizhebian,丰台这边
fengtaizhen,丰台镇
fengtaizhihang,丰台支行
fengteda,风特大
fengtishidai,丰体时代
fengwaner,疯玩儿
fengxianguanlibu,风险管理部
fengyayuan,风雅园
fengyihuayuan,丰益花园
fengyiqiao,丰益桥
fengyiqiaoxi,丰益桥西
fengyixuan,凤仪轩
fengyuetiyan,风月体验
fengzeyuan,丰泽园
fengzhan,封站
fengzhi,丰职
fengzhuyuan,枫竹苑
foluolunsaxiaozhen,佛罗伦萨小镇
fopai,佛牌
fopailian,佛牌链
foxiangge,佛香阁
fozizhuang,佛子庄
foule,否了
fuchaqu,复查去
fuchanyiyuan,妇产医院
fuchangjie,福长街
fucheng,福成
fuchengfeiniu,福成肥牛
fuchenglu,阜成路
fuchengmen,阜成门
fuchengmenle,阜成门了
fuchengmennei,阜成门内
fuchengmenwai,阜成门外
fuchengwuqi,福成五期
fudaoyan,副导演
fudongyuan,府东苑
fudunzhongxin,富顿中心
fuerdasha,富尔大厦
fufenglu,富丰路
fufengqiao,富丰桥
fufengyuan,富丰园
fuguiyuan,富贵园
fuguohaidishijie,富国海底世界
fuguoli,富国里
fuhaidasha,富海大厦
fuhaole,扶好了
fuhegai,复合钙
fuheyuan,富河园
fuhuadasha,富华大厦
fujiandasha,福建大厦
fujianli,附件里
fujianlishi,附件里是
fujianzhong,附件中
fujianzhongshi,附件中是
fujinjiayuan,富锦嘉园
fuka,福卡
fukaidasha,富凯大厦
fukouju,福口居
fukuantongzhi,付款通知
fulaigong,富来宫
fulaiyin,富莱茵
fulande,福兰德
fuleqi,服了气
fuleqi,服了气
fuleshuang,肤乐霜
fulewodou,服了我都
fulicheng,富力城
fulichengdian,富力城店
fulidichan,富力地产
fuliguangchang,富力广场
fulihui,富力会
fulike,富丽客
fulimogen,富力摩根
fulinongchang,福利农场
fulitaoyuan,富力桃园
fulite,福利特
fuliwanli,富力万丽
fulixincheng,富力新城
fuliyouyicheng,富力又一城
fulianjia,福连家
fulinmen,福临门
fulinyuan,拂林园
fulingbing,茯苓饼
fulou,福楼
fulu,辅路
fulushang,辅路上
fumadasha,福码大厦
fumeiti,富媒体
fumianxinxi,负面信息
fuminjie,富民街
funaite,福奈特
fuqiandongjie,府前东街
fuqianxijie,府前西街
fuqiangfen,富强粉
fuqiangxili,富强西里
furao,付娆
furendaxue,辅仁大学
furongli,芙蓉里
furunjiayuan,富润家园
fushengdasha,富盛大厦
fushilu,阜石路
fushouzhai,福寿斋
fushunju,福顺居
fusite,富思特
fusizhang,副司长
futaizheng,赴台证
futianqiche,福田汽车
futong,阜通
futongdongdajie,阜通东大街
futongxidajie,阜通西大街
fuwai,阜外
fuwaidajie,阜外大街
fuwaixikou,阜外西口
fuwaiyiyuan,阜外医院
fuwanla,付完啦
fuweilu,福伟路
fuwuchanpin,服务产品
fuwuqiduan,服务器端
fuxidadao,福熙大道
fuxingguoji,复兴国际
fuxingli,复兴里
fuxinglu,复兴路
fuxingmen,复兴门
fuxingmenle,复兴门了
fuxingmennei,复兴门内
fuxingmenneidajie,复兴门内大街
fuxingmenwai,复兴门外
fuxingmenwaidajie,复兴门外大街
fuxingshangyecheng,复兴商业城
fuxingyiyuan,复兴医院
fuxue,府学
fuxuelu,府学路
fuyanjiuyuan,副研究员
fuyanxincun,富燕新村
fuyishishang,富驿时尚
fuyiyuan,福怡苑
fuyoujie,府右街
fuyu,富余
fuyuqian,富裕钱
fuyuanli,富源里
fuyuanmen,福缘门
fuyuanxiaoqu,福苑小区
fuzaijunheng,负载均衡
fuzhanghu,副账户
fuzhenghua,傅政华
fuzhubian,副主编
fuzhuangshi,服装饰
fuzhuangxueyuan,服装学院
fuzhuo,富卓
fuzhuoyuan,富卓苑
fuzongbian,副总编
fuzongbianji,副总编辑
fuzongcai,副总裁
gaibugaoxingle,该不高兴了
gaicai,盖菜
gaichengba,改成吧
gaidi,改地
gaidixin,盖笛欣
gaidui,该队
gaifan,盖饭
gaifanba,盖饭吧
gaifanle,盖饭了
gaihaolea,盖好了啊
gaihongzhang,盖红章
gaihuaile,该坏了
gaiju,该剧
gaijuede,该觉得
gaileba,该了吧
gaishui,钙水
gaixiachele,该下车了
gaiyemian,该页面
gaizenmezhe,该怎么着
gaizhangqu,盖章去
gaizhui,改锥
ganbuju,干部局
gandanne,干蛋呢
gandianer,干点儿
gandianhuoer,干点活儿
ganerchan,肝儿颤
ganfanle,干烦了
gangewanji,赶个晚集
ganguotudoupian,干锅土豆片
ganguoyatou,干锅鸭头
ganhuangjiang,干黄酱
ganhuier,干会儿
ganhuoer,干活儿
ganhuoerle,干活儿了
ganhuoerne,干活儿呢
ganjiakou,甘家口
ganjiakoudasha,甘家口大厦
ganjian,肝尖
ganjinnongba,赶紧弄吧
ganjinxiehui,赶紧歇会
ganjinxiehuiba,赶紧歇会吧
ganjinzhe,赶紧着
ganjinzheba,赶紧着吧
gankeng,杆坑
ganlanhe,橄榄核
ganlanhu,橄榄胡
ganluyuan,甘露园
ganmalaide,干嘛来的
ganmalaizhe,干嘛来着
ganmashi,干嘛使
ganmashide,干嘛使得
ganmayonga,干嘛用啊
ganmayongya,干嘛用呀
ganmaochongji,感冒冲剂
ganshangge,赶上个
ganshangguo,赶上过
ganshangyu,赶上雨
ganshier,干事儿
ganshiqiao,甘石桥
ganshume,干熟么
ganshumene,干熟么呢
ganshumu,干熟木
ganshua,干刷
ganshuiqiao,甘水桥
ganwanhuoer,干完活儿
ganxiren,干系人
ganxiehuigu,感谢惠顾
ganxienindezhichi,感谢您的支持
ganya,干丫
ganyade,干丫的
ganyangshu,干杨树
gangaozhongxin,港澳中心
gangbannian,刚半年
gangcaigeinin,刚才给您
gangcaikaihuiqule,刚才开会去了
gangchifanlaizhe,刚吃饭来着
gangchuditie,刚出地铁
gangchugongsi,刚出公司
gangchujiamen,刚出家门
gangdaobeijing,刚到北京
gangdaoditie,刚到地铁
gangduoda,刚多大
gangduojiu,刚多久
ganggeinin,刚给您
ganggennin,刚跟您
ganghenin,刚和您
ganghuibeijing,刚回北京
ganghuijing,刚回京
gangjidian,刚几点
gangjidiana,刚几点啊
gangjidianya,刚几点呀
gangjihao,刚几号
gangjitian,刚几天
gangjinditie,刚进地铁
gangjiudian,刚九点
gangkaihuiqule,刚开会去了
gangkanwanqiu,刚看完球
ganglaibeijing,刚来北京
gangli,港丽
ganglicanting,港丽餐厅
gangliangtian,刚两天
gangliuwan,刚遛弯
gangqiba,刚起吧
gangqiya,刚起呀
gangshangditie,刚上地铁
gangshidian,刚十点
gangtama,刚他妈
gangteme,刚特么
gangwashi,缸瓦市
gangwanshier,刚完事儿
gangwenwan,刚问完
gangxiaditie,刚下地铁
gangxie,钢协
gangxin,港馨
gangyaogeinifa,刚要给你发
gangyuan,钢院
gangzhongwen,港中文
gangzouyiliang,刚走一辆
gangzuoditie,刚坐地铁
gangzuoshangditie,刚坐上地铁
gaoantun,高安屯
gaobeidian,高碑店
gaobeidianle,高碑店了
gaobingfa,高并发
gaodedasha,高德大厦
gaodengjiaoyuchubanshe,高等教育出版社
gaoer,告儿
gaojidao,高级道
gaojien,高级嗯
gaojiguwen,高级顾问
gaojijingli,高级经理
gaojiruanwo,高级软卧
gaojiahui,高加会
gaojiapu,高家堡
gaojiayuan,高家园
gaojian,高检
gaojiaoshe,高教社
gaojiaoxincheng,高教新城
gaojiaoyuan,高教园
gaojing,高井
gaojingzhi,高净值
gaokeyong,高可用
gaoliying,高丽营
gaoliyingzhen,高丽营镇
gaolizhang,高里掌
gaolizhuang,高立庄
gaoliangqiao,高粱桥
gaoliangqiaoxiejie,高粱桥斜街
gaoling,高玲
gaoloucun,高楼村
gaoloujin,高楼金
gaomidian,高米店
gaomidianbei,高米店北
gaomidiannan,高米店南
gaonengsuo,高能所
gaoran,高然
gaoshan,高姗
gaosi,高思
gaosunin,告诉您
gaosushangne,高速上呢
gaosushuo,告诉说
gaosuzanmen,告诉咱们
gaotong,搞同
gaoxiaopan,高晓攀
gaoyangshu,高杨树
gaoyuan,稿源
gaoyuanjie,高原街
gaoyue,高跃
gaozhonglou,高中楼
gebudian,葛布店
gebuwei,各部委
gedaqu,各大区
gedatang,疙瘩汤
gedexueyuan,歌德学院
geduande,隔断的
geduanfang,隔断房
geduanjian,隔断间
geduanqiang,隔断墙
geergao,个儿高
geerlia,哥儿俩
gegegongsi,各个公司
gehua,歌华
gehuadasha,歌华大厦
gehuayouxian,歌华有线
gejinqu,搁进去
gelanqingtian,格兰晴天
gelanshanshui,格兰山水
gelin,格林
gelintongqu,格林童趣
gelong,格隆
gemenjia,哥们家
gemenjiehun,哥们结婚
gemenjie,哥们姐
gemenna,哥们那
gemenqu,哥们去
gemenshuo,哥们说
genawang,戈拿旺
gepingtai,各平台
geqiangban,隔墙板
gerenchuzu,个人出租
gerenwangyin,个人网银
geruiyaju,格瑞雅居
getouer,个头儿
gexiangyixing,各向异性
gexinli,革新里
gexingfazhan,个性发展
geyejia,隔夜假
gezhan,个展
gezhihe,咯吱盒
gezhongshier,各种事儿
gezhongxin,各中心
gezhuang,各庄
geidaiguoqu,给带过去
geigexiner,给个信儿
geihukou,给户口
geimianer,给面儿
geinidaoluan,给你捣乱
geinifayoujianle,给你发邮件了
geinikuaidiguoqu,给你快递过去
geinixiner,给你信儿
geiniya,给你丫
geiniyoujian,给你邮件
geininba,给您吧
geininda,给您打
geinindadianhua,给您打电话
geinindaguoqu,给您打过去
geininfa,给您发
geininfade,给您发的
geininfaguoqu,给您发过去
geininfaguoqule,给您发过去了
geininfale,给您发了
geininhui,给您回
geininhuifu,给您回复
geininle,给您了
geininqian,给您钱
geininsong,给您送
geininsongguoqu,给您送过去
geininzuo,给您做
geiqianshao,给钱少
geitalianle,给他脸了
geiteme,给特么
geiwochaoxingle,给我吵醒了
geiwodadianhualaide,给我打电话来的
geiwodadianhualaizhe,给我打电话来着
geiwodayidianhua,给我打一电话
geiwogemen,给我哥们
geiwogexiner,给我个信儿
geiwojiemen,给我姐们
geiwojiucheng,给我就成
geiwoxiner,给我信儿
geixiner,给信儿
geiya,给丫
geiyade,给丫的
geiyezhu,给业主
geizanmende,给咱们的
geizhipiao,给支票
genbeijing,跟北京
genbenmeixi,根本没戏
gendi,根底
gener,根儿
gengemen,跟哥们
genguniang,跟姑娘
genguinv,跟闺女
genjia,跟家
genjiachi,跟家吃
genjiadaizhe,跟家呆着
genjiane,跟家呢
genjiedian,根节点
genjiemen,跟姐们
genjuzu,跟剧组
genna,跟那
gennaer,跟哪儿
gennaerne,跟哪儿呢
gennali,跟哪里
gennane,跟哪呢
gennidaihui,跟你待会
gennigemen,跟你哥们
gennijiaojin,跟你较劲
gennishide,跟你是的
genniya,跟你丫
genniyemen,跟你爷们
gennizheer,跟你这儿
gennin,跟您
genninlianxi,跟您联系
genninqinggejia,跟您请个假
genninshuo,跟您说
genninshuode,跟您说的
genninshuole,跟您说了
genninshuoyisheng,跟您说一声
genninshuoyixia,跟您说一下
gensunzi,跟孙子
genteme,跟特么
gentou,跟投
genwaibian,跟外边
genwodaihui,跟我待会
genwogemen,跟我哥们
genwoguinv,跟我闺女
genwoji,跟我急
genwojile,跟我急了
genwojiaojin,跟我较劲
genwojiemen,跟我姐们
genwoliaohuitian,跟我聊会天
genwomianqian,跟我面前
genwoqutang,跟我去趟
genworang,跟我嚷
genworang,跟我嚷
genwoshide,跟我是的
genwoshuolaizhe,跟我说来着
genwowanqu,跟我玩去
genwoxifuer,跟我媳妇儿
genwoyemen,跟我爷们
genwoyibianda,跟我一边大
genwozhe,跟我这
genwozheer,跟我这儿
genya,跟丫
genyashuo,跟丫说
genyasike,跟丫死磕
genyezhu,跟业主
genzanmen,跟咱们
genzhe,跟这
genzheer,跟这儿
genzhendeshi,跟真的似
genzhongjie,跟中介
gengbengshuo,更甭说
gengcaodan,更操蛋
gengdanxueyuan,耿丹学院
gengdou,更逗
gengmeipu,更没谱
gengmeixile,更没戏了
gengteme,更特么
gengzhuang,耿庄
gonganbu,公安部
gongandaxue,公安大学
gonganjiaotong,公安交通
gonganjiaotongguanliju,公安交通管理局
gongbaojiding,宫保鸡丁
gongchengsuo,工程所
gongdaqiao,工大桥
gongdefu,功德福
gongdelin,功德林
gongfeiyiliao,公费医疗
gongfu,工服
gongfule,工服了
gonggongqu,公共区
gongguansi,公关司
gonghuacheng,巩华城
gonghuidalou,工会大楼
gongjijinka,公积金卡
gongjiaoditie,公交地铁
gongjiaojiaxiao,公交驾校
gongjiaojiazhao,公交驾照
gongjiaokale,公交卡了
gongjiaoshuniu,公交枢纽
gongjiaoyikatong,公交一卡通
gongjugui,工具柜
gongliyuan,公立园
gonglingjia,工龄假
gongmei,工美
gongmeidasha,工美大厦
gongmenkou,宫门口
gongminshehui,公民社会
gongmujijin,公募基金
gongnengceshi,功能测试
gongnengdian,功能点
gongnin,供您
gongnincankao,供您参考
gongnuanfei,供暖费
gongnuanji,供暖季
gongqinwangfu,恭亲王府
gongrechang,供热厂
gongrenjulebu,工人俱乐部
gongrenribao,工人日报
gongrentiyu,工人体育
gongrentiyuchang,工人体育场
gongrentiyuguan,工人体育馆
gongshangbiangeng,工商变更
gongshangzongju,工商总局
gongshi,公使
gongshier,公事儿
gongshiwang,共识网
gongsibanjia,公司搬家
gongsizhai,公司债
gongsizou,公司走
gongti,工体
gongtia,工体啊
gongtibeilu,工体北路
gongtibeimen,工体北门
gongtide,工体的
gongtidian,工体店
gongtidonglu,工体东路
gongtijian,工体见
gongtile,工体了
gongtinanlu,工体南路
gongtine,工体呢
gongtixilu,工体西路
gongtingcai,宫廷菜
gongwang,公网
gongwangfu,恭王府
gongwei,工位
gongweile,工位了
gongweishang,工位上
gongwucang,公务舱
gongwuhuodong,公务活动
gongwuji,公务机
gongwutuan,公务团
gongxinbu,工信部
gongyehe,工业和
gongyehexinxihuabu,工业和信息化部
gongyekaifaqu,工业开发区
gongyexiehui,工业协会
gongyidongqiao,公益东桥
gongyifu,宫颐府
gongyiqiao,公益桥
gongyixi,公益西
gongyixiqiao,公益西桥
gongyixiangmu,公益项目
gongyinruixin,工银瑞信
gongyou,公邮
gongyoule,公邮了
gongyouli,公邮里
gongyuan,贡院
gongyuandadao,公园大道
gongyuannianpiao,公园年票
gongzhaowang,公招网
gongzhufen,公主坟
gongzhufenle,公主坟了
gongzhufennan,公主坟南
gongzuodeshier,工作的事儿
gongzuojuzhuzheng,工作居住证
gongzuorisonghuo,工作日送货
gongzuozhoubao,工作周报
gongzuozhuo,工作桌
goubangde,够棒的
goubeide,够背的
goucaodan,够操蛋
goudoude,够逗的
goufande,够烦的
goufangjia,购房价
goufangzige,购房资格
goufeijin,够费劲
goufengsheng,够丰盛
gougaode,够高的
gougezhuang,苟各庄
gougui,够贵
gouguide,够贵的
goujianchang,构件厂
goujinde,够近的
goujiner,够劲儿
goukude,够苦的
goukuaide,够快的
goukuaidea,够快的啊
goukuaideya,够快的呀
goulengde,够冷的
goulihaide,够厉害的
goulingtong,够灵通
goumangdea,够忙的啊
goumeidi,够美的
goumengde,够猛的
gounengchi,够能吃
gounengchide,够能吃的
gouniubi,够牛逼
gouniubide,够牛逼的
gouniude,够牛的
goupangde,够胖的
gourenaode,够热闹的
goushi,够使
goushile,够使了
goushipin,购食品
goushuaide,够帅的
goushuangde,够爽的
gousudude,够速度的
